result_table,result_row,field,value
ap_small_certified_cplex,1,instance_name,ap10_loose_q3_a020
ap_small_certified_cplex,1,scale,ap10
ap_small_certified_cplex,1,setting,loose
ap_small_certified_cplex,1,q,3
ap_small_certified_cplex,1,alpha,0.2
ap_small_certified_cplex,1,time_limit_s,300
ap_small_certified_cplex,1,status_class,certified_optimal
ap_small_certified_cplex,1,objective,318003.825274171
ap_small_certified_cplex,1,best_bound,318003.825274171
ap_small_certified_cplex,1,gap,0
ap_small_certified_cplex,1,runtime_s,1.09764313697815
ap_small_certified_cplex,2,instance_name,ap10_loose_q3_a030
ap_small_certified_cplex,2,scale,ap10
ap_small_certified_cplex,2,setting,loose
ap_small_certified_cplex,2,q,3
ap_small_certified_cplex,2,alpha,0.3
ap_small_certified_cplex,2,time_limit_s,300
ap_small_certified_cplex,2,status_class,certified_optimal
ap_small_certified_cplex,2,objective,318003.825274171
ap_small_certified_cplex,2,best_bound,318003.825274171
ap_small_certified_cplex,2,gap,0
ap_small_certified_cplex,2,runtime_s,1.21021056175232
ap_small_certified_cplex,3,instance_name,ap10_loose_q3_a040
ap_small_certified_cplex,3,scale,ap10
ap_small_certified_cplex,3,setting,loose
ap_small_certified_cplex,3,q,3
ap_small_certified_cplex,3,alpha,0.4
ap_small_certified_cplex,3,time_limit_s,300
ap_small_certified_cplex,3,status_class,certified_optimal
ap_small_certified_cplex,3,objective,318003.825274171
ap_small_certified_cplex,3,best_bound,318003.825274171
ap_small_certified_cplex,3,gap,0
ap_small_certified_cplex,3,runtime_s,1.13132524490356
ap_small_certified_cplex,4,instance_name,ap10_loose_q3_a050
ap_small_certified_cplex,4,scale,ap10
ap_small_certified_cplex,4,setting,loose
ap_small_certified_cplex,4,q,3
ap_small_certified_cplex,4,alpha,0.5
ap_small_certified_cplex,4,time_limit_s,300
ap_small_certified_cplex,4,status_class,certified_optimal
ap_small_certified_cplex,4,objective,318003.825274171
ap_small_certified_cplex,4,best_bound,318003.825274171
ap_small_certified_cplex,4,gap,0
ap_small_certified_cplex,4,runtime_s,1.09487152099609
ap_small_certified_cplex,5,instance_name,ap10_loose_q3_a060
ap_small_certified_cplex,5,scale,ap10
ap_small_certified_cplex,5,setting,loose
ap_small_certified_cplex,5,q,3
ap_small_certified_cplex,5,alpha,0.6
ap_small_certified_cplex,5,time_limit_s,300
ap_small_certified_cplex,5,status_class,certified_optimal
ap_small_certified_cplex,5,objective,318003.825274171
ap_small_certified_cplex,5,best_bound,318003.825274171
ap_small_certified_cplex,5,gap,0
ap_small_certified_cplex,5,runtime_s,1.09641551971436
ap_small_certified_cplex,6,instance_name,ap10_loose_q3_a070
ap_small_certified_cplex,6,scale,ap10
ap_small_certified_cplex,6,setting,loose
ap_small_certified_cplex,6,q,3
ap_small_certified_cplex,6,alpha,0.7
ap_small_certified_cplex,6,time_limit_s,300
ap_small_certified_cplex,6,status_class,certified_optimal
ap_small_certified_cplex,6,objective,318003.825274171
ap_small_certified_cplex,6,best_bound,318003.825274171
ap_small_certified_cplex,6,gap,0
ap_small_certified_cplex,6,runtime_s,1.10063147544861
ap_small_certified_cplex,7,instance_name,ap10_loose_q3_a080
ap_small_certified_cplex,7,scale,ap10
ap_small_certified_cplex,7,setting,loose
ap_small_certified_cplex,7,q,3
ap_small_certified_cplex,7,alpha,0.8
ap_small_certified_cplex,7,time_limit_s,300
ap_small_certified_cplex,7,status_class,certified_optimal
ap_small_certified_cplex,7,objective,318003.825274171
ap_small_certified_cplex,7,best_bound,318003.825274171
ap_small_certified_cplex,7,gap,0
ap_small_certified_cplex,7,runtime_s,1.05793786048889
ap_small_certified_cplex,8,instance_name,ap10_loose_q3_a090
ap_small_certified_cplex,8,scale,ap10
ap_small_certified_cplex,8,setting,loose
ap_small_certified_cplex,8,q,3
ap_small_certified_cplex,8,alpha,0.9
ap_small_certified_cplex,8,time_limit_s,300
ap_small_certified_cplex,8,status_class,certified_optimal
ap_small_certified_cplex,8,objective,318003.825274171
ap_small_certified_cplex,8,best_bound,318003.825274171
ap_small_certified_cplex,8,gap,0
ap_small_certified_cplex,8,runtime_s,1.1254870891571
ap_small_certified_cplex,9,instance_name,ap10_loose_q4_a020
ap_small_certified_cplex,9,scale,ap10
ap_small_certified_cplex,9,setting,loose
ap_small_certified_cplex,9,q,4
ap_small_certified_cplex,9,alpha,0.2
ap_small_certified_cplex,9,time_limit_s,300
ap_small_certified_cplex,9,status_class,certified_optimal
ap_small_certified_cplex,9,objective,299788.635185579
ap_small_certified_cplex,9,best_bound,299788.635185579
ap_small_certified_cplex,9,gap,0
ap_small_certified_cplex,9,runtime_s,0.910915851593018
ap_small_certified_cplex,10,instance_name,ap10_loose_q4_a030
ap_small_certified_cplex,10,scale,ap10
ap_small_certified_cplex,10,setting,loose
ap_small_certified_cplex,10,q,4
ap_small_certified_cplex,10,alpha,0.3
ap_small_certified_cplex,10,time_limit_s,300
ap_small_certified_cplex,10,status_class,certified_optimal
ap_small_certified_cplex,10,objective,299788.635185579
ap_small_certified_cplex,10,best_bound,299788.635185579
ap_small_certified_cplex,10,gap,0
ap_small_certified_cplex,10,runtime_s,0.87682318687439
ap_small_certified_cplex,11,instance_name,ap10_loose_q4_a040
ap_small_certified_cplex,11,scale,ap10
ap_small_certified_cplex,11,setting,loose
ap_small_certified_cplex,11,q,4
ap_small_certified_cplex,11,alpha,0.4
ap_small_certified_cplex,11,time_limit_s,300
ap_small_certified_cplex,11,status_class,certified_optimal
ap_small_certified_cplex,11,objective,299788.635185579
ap_small_certified_cplex,11,best_bound,299788.635185579
ap_small_certified_cplex,11,gap,0
ap_small_certified_cplex,11,runtime_s,0.980422735214233
ap_small_certified_cplex,12,instance_name,ap10_loose_q4_a050
ap_small_certified_cplex,12,scale,ap10
ap_small_certified_cplex,12,setting,loose
ap_small_certified_cplex,12,q,4
ap_small_certified_cplex,12,alpha,0.5
ap_small_certified_cplex,12,time_limit_s,300
ap_small_certified_cplex,12,status_class,certified_optimal
ap_small_certified_cplex,12,objective,299788.635185579
ap_small_certified_cplex,12,best_bound,299788.635185579
ap_small_certified_cplex,12,gap,0
ap_small_certified_cplex,12,runtime_s,1.00880479812622
ap_small_certified_cplex,13,instance_name,ap10_loose_q4_a060
ap_small_certified_cplex,13,scale,ap10
ap_small_certified_cplex,13,setting,loose
ap_small_certified_cplex,13,q,4
ap_small_certified_cplex,13,alpha,0.6
ap_small_certified_cplex,13,time_limit_s,300
ap_small_certified_cplex,13,status_class,certified_optimal
ap_small_certified_cplex,13,objective,299788.635185579
ap_small_certified_cplex,13,best_bound,299788.635185579
ap_small_certified_cplex,13,gap,0
ap_small_certified_cplex,13,runtime_s,0.939593553543091
ap_small_certified_cplex,14,instance_name,ap10_loose_q4_a070
ap_small_certified_cplex,14,scale,ap10
ap_small_certified_cplex,14,setting,loose
ap_small_certified_cplex,14,q,4
ap_small_certified_cplex,14,alpha,0.7
ap_small_certified_cplex,14,time_limit_s,300
ap_small_certified_cplex,14,status_class,certified_optimal
ap_small_certified_cplex,14,objective,299788.635185579
ap_small_certified_cplex,14,best_bound,299788.635185579
ap_small_certified_cplex,14,gap,0
ap_small_certified_cplex,14,runtime_s,0.998812198638916
ap_small_certified_cplex,15,instance_name,ap10_loose_q4_a080
ap_small_certified_cplex,15,scale,ap10
ap_small_certified_cplex,15,setting,loose
ap_small_certified_cplex,15,q,4
ap_small_certified_cplex,15,alpha,0.8
ap_small_certified_cplex,15,time_limit_s,300
ap_small_certified_cplex,15,status_class,certified_optimal
ap_small_certified_cplex,15,objective,299788.635185579
ap_small_certified_cplex,15,best_bound,299788.635185579
ap_small_certified_cplex,15,gap,0
ap_small_certified_cplex,15,runtime_s,1.02711629867554
ap_small_certified_cplex,16,instance_name,ap10_loose_q4_a090
ap_small_certified_cplex,16,scale,ap10
ap_small_certified_cplex,16,setting,loose
ap_small_certified_cplex,16,q,4
ap_small_certified_cplex,16,alpha,0.9
ap_small_certified_cplex,16,time_limit_s,300
ap_small_certified_cplex,16,status_class,certified_optimal
ap_small_certified_cplex,16,objective,299788.635185579
ap_small_certified_cplex,16,best_bound,299788.635185579
ap_small_certified_cplex,16,gap,0
ap_small_certified_cplex,16,runtime_s,0.97382116317749
ap_small_certified_cplex,17,instance_name,ap10_loose_q5_a020
ap_small_certified_cplex,17,scale,ap10
ap_small_certified_cplex,17,setting,loose
ap_small_certified_cplex,17,q,5
ap_small_certified_cplex,17,alpha,0.2
ap_small_certified_cplex,17,time_limit_s,300
ap_small_certified_cplex,17,status_class,certified_optimal
ap_small_certified_cplex,17,objective,289019.579413862
ap_small_certified_cplex,17,best_bound,289019.579413862
ap_small_certified_cplex,17,gap,0
ap_small_certified_cplex,17,runtime_s,1.12972593307495
ap_small_certified_cplex,18,instance_name,ap10_loose_q5_a030
ap_small_certified_cplex,18,scale,ap10
ap_small_certified_cplex,18,setting,loose
ap_small_certified_cplex,18,q,5
ap_small_certified_cplex,18,alpha,0.3
ap_small_certified_cplex,18,time_limit_s,300
ap_small_certified_cplex,18,status_class,certified_optimal
ap_small_certified_cplex,18,objective,289019.579413862
ap_small_certified_cplex,18,best_bound,289019.579413862
ap_small_certified_cplex,18,gap,0
ap_small_certified_cplex,18,runtime_s,1.01171064376831
ap_small_certified_cplex,19,instance_name,ap10_loose_q5_a040
ap_small_certified_cplex,19,scale,ap10
ap_small_certified_cplex,19,setting,loose
ap_small_certified_cplex,19,q,5
ap_small_certified_cplex,19,alpha,0.4
ap_small_certified_cplex,19,time_limit_s,300
ap_small_certified_cplex,19,status_class,certified_optimal
ap_small_certified_cplex,19,objective,289019.579413862
ap_small_certified_cplex,19,best_bound,289019.579413862
ap_small_certified_cplex,19,gap,0
ap_small_certified_cplex,19,runtime_s,1.13248109817505
ap_small_certified_cplex,20,instance_name,ap10_loose_q5_a050
ap_small_certified_cplex,20,scale,ap10
ap_small_certified_cplex,20,setting,loose
ap_small_certified_cplex,20,q,5
ap_small_certified_cplex,20,alpha,0.5
ap_small_certified_cplex,20,time_limit_s,300
ap_small_certified_cplex,20,status_class,certified_optimal
ap_small_certified_cplex,20,objective,289019.579413862
ap_small_certified_cplex,20,best_bound,289019.579413862
ap_small_certified_cplex,20,gap,0
ap_small_certified_cplex,20,runtime_s,0.975247144699097
ap_small_certified_cplex,21,instance_name,ap10_loose_q5_a060
ap_small_certified_cplex,21,scale,ap10
ap_small_certified_cplex,21,setting,loose
ap_small_certified_cplex,21,q,5
ap_small_certified_cplex,21,alpha,0.6
ap_small_certified_cplex,21,time_limit_s,300
ap_small_certified_cplex,21,status_class,certified_optimal
ap_small_certified_cplex,21,objective,289019.579413862
ap_small_certified_cplex,21,best_bound,289019.579413862
ap_small_certified_cplex,21,gap,0
ap_small_certified_cplex,21,runtime_s,1.15828156471252
ap_small_certified_cplex,22,instance_name,ap10_loose_q5_a070
ap_small_certified_cplex,22,scale,ap10
ap_small_certified_cplex,22,setting,loose
